y,square_meters,condominium_fees,is_available,energy_efficiency_class_encoded,conditions_encoded,floor_num,elevator_sign,floor_effect,num_bedrooms,num_other_rooms,num_bathrooms,kitchen_open,kitchen_diner,kitchen_nook,kitchen_semi,kitchenette,kitchen_none,suitable_disabled,furnished,security door,centralized tv system,optic fiber,window_double_glass,balcony,full day concierge,video entryphone,window_pvc,closet,electric gate,shared garden,window_wood,window_metal,half-day concierge,cellar,terrace,partially furnished,alarm system,kitchen,only kitchen furnished,single tv system,window_triple_glass,exposure_south,exposure_east,private garden,exposure_west,reception,exposure_north,attic,fireplace,tv system with satellite dish,hydromassage,pool,tavern,private and shared garden,tennis court,zone_encoded,zone_rent_per_sqm,contract_rent,contract_rent | 3+2,contract_rent | 4+4,contract_rent | 6+6,contract_rent | open,contract_rent | students (6 - 36 months),contract_rent | transitory,distance_to_duomo_km,bathrooms_x_bedrooms,zone_x_sqm
1700,73,200.0,1,1,1,0.0,1,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1308.409090909091,23.11624528348116,True,False,False,False,False,False,False,4.652123357368686,2.0,95513.86363636365
780,27,0.0,0,2,0,3.0,-1,-3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.655737704918,21.614432285681033,False,False,False,False,False,True,False,4.096779458664907,1.0,36467.70491803279
1300,60,150.0,1,7,1,3.0,-1,-3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1386.2857142857142,16.7436203083358,True,False,False,False,False,False,False,8.261175845756398,1.0,83177.14285714286
1800,75,180.0,0,1,0,5.0,1,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340.7692307692307,24.248410784265637,True,False,False,False,False,False,False,7.1684789467951475,2.0,100557.6923076923
1666,98,166.0,0,1,1,2.0,1,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064.095238095238,29.214438064471135,False,False,True,False,False,False,False,2.3499863414412605,4.0,202281.33333333334
1400,65,240.0,1,3,1,5.0,1,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.904761904762,22.02752424076011,False,False,True,False,False,False,False,4.381674080714689,2.0,78123.80952380953
6500,182,1000.0,1,1,1,0.5,1,0.5,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2449.36,28.77847222401934,False,False,True,False,False,False,False,2.5480162750369018,9.0,445783.52
1350,65,170.0,0,2,1,4.0,1,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973.2894736842106,29.239906384610276,False,False,True,False,False,False,False,2.2859465672882653,1.0,128263.8157894737
1000,41,180.0,0,5,1,2.0,1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.904761904762,22.02752424076011,True,False,False,False,False,False,False,4.381674080714689,1.0,49278.09523809524
1100,50,300.0,1,1,0,3.0,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064.095238095238,29.214438064471135,False,False,False,False,False,False,True,2.3499863414412605,1.0,103204.76190476191
5600,100,0.0,0,5,1,4.0,-1,-4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3614.6666666666665,44.69743272456833,False,False,False,False,False,False,True,0.8324679253974556,2.0,361466.6666666666
850,48,120.0,1,2,1,2.0,-1,-2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.904761904762,22.02752424076011,True,False,False,False,False,False,False,4.381674080714689,2.0,57691.42857142857
1200,75,400.0,0,2,1,4.0,1,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214.5333333333333,28.216772874105132,False,False,True,False,False,False,False,9.8001088606592,1.0,166090.0
3300,70,0.0,0,5,1,3.0,-1,-3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548.92,39.06446022969868,False,False,False,False,False,False,True,0.8391410246696467,1.0,178424.4
1200,85,200.0,1,1,0,5.0,1,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680.7692307692307,28.37583383600545,False,False,True,False,False,False,False,3.6296300337144287,1.0,142865.38461538462
1500,88,100.0,1,7,1,5.0,1,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1680.7692307692307,28.37583383600545,True,False,False,False,False,False,False,3.6296300337144287,2.0,147907.6923076923
7000,220,200.0,0,4,1,6.0,-1,-6.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715.568181818182,32.15979179783613,True,False,False,False,False,False,False,1.5187294860380303,10.0,597425.0
1000,65,200.0,0,2,1,0.5,1,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.904761904762,22.02752424076011,False,False,False,False,False,False,True,4.381674080714689,1.0,78123.80952380953
1386,28,0.0,1,7,2,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1312.5555555555557,28.34243182271668,False,False,False,False,True,False,False,4.6515460469916405,1.0,36751.55555555556
1300,75,300.0,0,1,1,7.0,1,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438.25,24.532222588915843,False,False,True,False,False,False,False,3.675439857061536,2.0,107868.75
2200,96,250.0,1,4,1,0.5,-1,-0.5,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649.3461538461538,23.131493006940314,True,False,False,False,False,False,False,3.2745502363024834,4.0,158337.23076923075
1500,43,0.0,0,5,1,0.0,-1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821.967741935484,28.982881770541894,False,False,False,False,False,False,True,1.6298210515797342,1.0,78344.6129032258
1400,65,200.0,0,3,1,2.0,-1,-2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570.8222222222223,23.833933735801963,False,False,False,False,True,False,False,3.964586256813657,1.0,102103.44444444445
1800,75,200.0,0,2,0,3.0,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844.2982456140353,35.69317113024806,False,False,True,False,False,False,False,1.498318026914719,1.0,213322.36842105264
1500,50,200.0,1,3,1,0.5,1,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715.568181818182,32.15979179783613,False,False,False,False,True,False,False,1.5187294860380303,1.0,135778.4090909091
4200,50,0.0,0,5,1,1.0,-1,-1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608.6640625,24.409581328684194,False,False,False,False,False,False,True,3.2459250198720353,4.0,80433.203125
3261,162,139.0,1,1,1,2.0,-1,-2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214.5333333333333,28.216772874105132,False,False,True,False,False,False,False,9.8001088606592,4.0,358754.4
1250,40,100.0,1,2,1,0.5,1,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821.967741935484,28.982881770541894,False,False,True,False,False,False,False,1.6298210515797342,1.0,72878.70967741936
1300,70,150.0,1,1,0,2.0,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236.764705882353,23.51333048309292,True,False,False,False,False,False,False,2.9609867769436526,1.0,86573.5294117647
2900,110,300.0,1,1,1,4.0,1,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214.5333333333333,28.216772874105132,False,False,True,False,False,False,False,9.8001088606592,4.0,243598.66666666666
3500,112,1000.0,1,6,2,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2675.4761904761904,32.64587299760649,True,False,False,False,False,False,False,1.762603435947802,1.0,299653.3333333333
1200,75,250.0,1,3,0,4.0,1,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.25,23.07217394533571,False,False,True,False,False,False,False,4.2047967601568494,1.0,97968.75
900,50,150.0,1,4,0,4.0,1,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.6666666666667,22.10802723057625,False,False,True,False,False,False,False,4.6696725928090395,1.0,53333.333333333336
900,40,100.0,1,4,1,2.0,1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728.4,23.911181151493846,True,False,False,False,False,False,False,4.064521378839285,1.0,69136.0
1300,50,150.0,1,5,1,2.0,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.25,23.07217394533571,False,False,True,False,False,False,False,4.2047967601568494,1.0,65312.5
2600,50,0.0,0,5,1,2.0,-1,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951.2142857142858,29.64732980788475,False,False,False,False,False,False,True,2.827368847374255,1.0,97560.71428571429
5960,70,0.0,0,5,1,3.0,-1,-3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937.6363636363635,32.66674599500406,False,False,False,False,False,False,True,0.4743299375117776,3.0,205634.54545454544
1250,55,250.0,1,3,0,0.0,-1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916.0444444444445,22.567525211006718,False,False,True,False,False,False,False,3.1856596997750732,1.0,105382.44444444445
1200,56,210.0,1,3,1,2.0,-1,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051.173076923077,25.500198159028706,False,False,False,False,False,False,True,3.592586207669462,1.0,114865.69230769231
1000,56,250.0,1,1,1,7.0,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.904761904762,22.02752424076011,False,False,False,False,False,False,True,4.381674080714689,1.0,67306.66666666667
1250,60,125.0,0,2,1,0.5,1,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871.0625,30.33870126672456,False,False,True,False,False,False,False,3.1296375171132125,1.0,112263.75
4700,60,0.0,0,5,1,0.0,-1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941.6666666666665,38.88401737506597,False,False,False,False,False,False,True,0.37502451724616565,1.0,236500.0
800,45,50.0,1,1,0,0.0,-1,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.235294117647,16.288750983383974,True,False,False,False,False,False,False,7.3474383724896795,1.0,72595.58823529411
850,36,100.0,1,1,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821.967741935484,28.982881770541894,False,False,False,False,False,False,True,1.6298210515797342,1.0,65590.83870967742
1020,70,200.0,0,1,1,2.0,1,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308.409090909091,23.11624528348116,False,False,False,False,False,False,True,4.652123357368686,2.0,91588.63636363637
5000,190,850.0,1,4,1,3.0,1,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171.935483870968,36.9821187127844,False,False,True,False,False,False,False,1.2159128438818747,8.0,792667.7419354839
1650,60,170.0,1,4,1,3.0,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821.967741935484,28.982881770541894,False,False,True,False,False,False,False,1.6298210515797342,1.0,109318.06451612903
1350,55,200.0,1,3,1,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782.2,25.044428603216947,True,False,False,False,False,False,False,1.6849020393927863,1.0,98021.0
1880,64,300.0,0,3,1,2.0,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.391304347826,25.72043125399107,False,False,False,False,False,False,True,3.393469104797584,1.0,94873.04347826086
2750,40,0.0,0,5,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401.6666666666665,28.06521134925749,False,False,False,False,False,False,True,1.803738020828646,1.0,96066.66666666666
6200,200,550.0,1,2,0,4.0,1,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2844.2982456140353,35.69317113024806,False,False,True,False,False,False,False,1.498318026914719,6.0,568859.6491228071
1395,30,0.0,0,5,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375.2906976744184,36.959755336005216,False,False,False,False,False,False,True,0.8147745687631124,1.0,101258.72093023255
800,30,200.0,1,6,1,2.0,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1649.3461538461538,23.131493006940314,True,False,False,False,False,False,False,3.2745502363024834,1.0,49480.38461538462
1667,90,330.0,1,1,1,1.0,1,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854.4366197183099,24.231225577895664,False,False,True,False,False,False,False,2.6557791352934457,4.0,166899.29577464788
2400,100,292.0,1,2,1,2.0,1,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401.6666666666665,28.06521134925749,False,False,True,False,False,False,False,1.803738020828646,2.0,240166.66666666666
1000,30,50.0,0,2,1,8.0,1,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.97,26.050778123463747,False,False,True,False,False,False,False,2.1009884156312713,1.0,59489.1
1200,44,100.0,1,1,0,1.0,-1,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951.2142857142858,29.64732980788475,False,False,True,False,False,False,False,2.827368847374255,1.0,85853.42857142858
1000,50,100.0,1,1,0,4.0,1,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680.7692307692307,28.37583383600545,False,False,False,False,False,False,True,3.6296300337144287,1.0,84038.46153846153
900,30,50.0,1,2,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.655737704918,21.614432285681033,False,False,True,False,False,False,False,4.096779458664907,1.0,40519.67213114754
