w,y,square_meters,contract_type,availability,description,other_features,conditions,floor,elevator,energy_efficiency_class,condominium_fees,zone
1,1700,73,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",full day concierge | furnished | private garden,excellent,Ground floor,yes,g,200,bovisa
1,780,27,rent | students (6 - 36 months),available from 01/06/2024,"1 bedroom, 1 bathroom, open kitchen",security door | internal exposure | centralized tv system | furnished | window frames in double glass / metal,good condition,3,no,NA,0,ripamonti
1,1300,60,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",alarm system | kitchen | furnished | cellar | shared garden | window frames in double glass / metal | exposure north,excellent,3,no,a,NA,cascina merlata - musocco
1,1800,75,rent,NA,"3 rooms, 1 bathroom",balcony,good condition,5,yes,g,180,bignami - ponale
1,1666,98,rent | 4+4,available from 01/04/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",optic fiber | video entryphone | security door | centralized tv system | cellar | window frames in double glass / metal | double exposure,excellent,2,yes,g,166,buenos aires
1,1400,65,rent | 4+4,available,"2 bedrooms, 1 bathroom, semi-habitable kitchen",security door | internal exposure | balcony | half-day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,excellent,5,yes,e,240,dergano
1,6500,182,rent | 4+4,available,"4 (3 bedrooms, 1 other), 3 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | alarm system | security door | closet | centralized tv system | partially furnished | cellar | private garden | window frames in glass / wood | double exposure,excellent,Mezzanine,yes,g,1000,plebisciti - susa
1,1350,65,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in glass / wood,excellent,4,yes,f,170,paolo sarpi
1,1000,41,rent,NA,"1 room, 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | furnished | cellar,excellent,2,yes,c,180,dergano
1,1100,50,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | balcony | centralized tv system | furnished | window frames in double glass / wood | double exposure,good condition,3,yes,g,300,buenos aires
1,5600,100,rent | transitory,available from 20/04/2024,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,4,no,c,0,brera
1,850,48,rent,available,"2 (1 bedroom, 1 other), 2 bathrooms, open kitchen",video entryphone | balcony | furnished | shared garden,excellent,2,no,f,120,dergano
1,1200,75,rent | 4+4,available from 01/05/2024,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,excellent,4,yes,f,400,montenero
1,3300,70,rent | transitory,available from 11/05/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,guastalla
1,1200,85,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | full day concierge | centralized tv system | furnished | window frames in glass / pvcdouble exposure,good condition,5,yes,g,200,pasteur
1,1500,88,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom",kitchen | balcony | terrace | furnished | window frames in double glass / metal | exposure north,excellent,5,yes,a,100,pasteur
1,7000,220,rent,NA,"5 bedrooms, 2 bathrooms, kitchen diner",optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / metal,NA,6,no,d,200,piave - tricolore
1,1000,65,rent | transitory,available from 25/03/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | centralized tv system | furnished | shared garden | window frames in triple glass / pvcdouble exposure,excellent,Mezzanine,yes,f,200,dergano
1,1386,28,rent | open,available,"1 bedroom, 1 bathroom, kitchen diner",optic fiber | security door | closet | balcony | terrace | tv system with satellite dish | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,new,1,yes,a,0,turro
1,1300,75,rent | 4+4,available from 01/07/2024,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",optic fiber | security door | balcony | terrace | half-day concierge | furnished | shared garden | double exposure,excellent,7,yes,g,300,gambara
1,2200,96,rent,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | centralized tv system | furnished | shared garden | window frames in double glass / wood | double exposure,excellent,Mezzanine,no,d,250,maggiolina
1,1500,43,rent | transitory,available from 20/02/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,Ground floor,no,c,0,porta romana - medaglie d'oro
1,1400,65,rent | open,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",balcony | furnished,excellent,2,no,NA,200,giambellino
1,1800,75,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | furnished | window frames in double glass / wood,good condition,3,yes,NA,200,moscova
1,1500,50,rent | open,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",optic fiber | security door | closet | partially furnished | window frames in double glass / wood,excellent,Mezzanine,yes,NA,200,piave - tricolore
1,4200,50,rent | transitory,available from 13/05/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,città studi
1,3261,162,rent | 4+4,available,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",full day concierge,excellent,2,no,g,139,montenero
1,1250,40,rent | 4+4,available,"1 bedroom, 1 bathroom, kitchen nook",electric gate | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,Mezzanine,yes,f,100,porta romana - medaglie d'oro
1,1300,70,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",video entryphone | security door | external exposure | closet | balcony | centralized tv system | furnished | window frames in double glass / metal,good condition,2,yes,g,NA,cermenate - abbiategrasso
1,2900,110,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",electric gate | optic fiber | security door | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / wood | double exposure,excellent,4,yes,g,300,montenero
1,3500,112,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | balcony | terrace | full day concierge | tv system with satellite dish | furnished | cellar | window frames in glass / wood,new,1,yes,b,1000,porta nuova
1,1200,75,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,good condition,4,yes,e,250,istria
1,900,50,rent | 4+4,available,"1 room, 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,good condition,4,yes,d,150,rubattino
1,900,40,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",furnished | cellar,excellent,2,yes,d,100,barona
1,1300,50,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal,excellent,2,yes,c,150,istria
1,2600,50,rent | transitory,available from 01/03/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,2,no,c,0,isola
1,5960,70,rent | transitory,available from 08/04/2024,"4 (3 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,missori
1,1250,55,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | external exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc,good condition,Ground floor,no,e,250,frua
1,1200,56,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | internal exposure | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal,excellent,2,no,e,210,monte rosa - lotto
1,1000,56,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc,excellent,7,yes,g,250,dergano
1,1250,60,rent | 4+4,available from 01/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",closet | furnished | double exposure,excellent,Mezzanine,yes,f,125,solari
1,4700,60,rent | transitory,available from 11/09/2023,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,Ground floor,no,c,0,scala - manzoni
1,800,45,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",partially furnished | shared garden,good condition,Ground floor,no,g,50,gallaratese
1,850,36,rent | transitory,available,"1 bedroom, 1 bathroom, open kitchen",internal exposure | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc,excellent,1,no,g,100,porta romana - medaglie d'oro
1,1020,70,rent | transitory,NA,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",security door | terrace | full day concierge | furnished | window frames in double glass / metal,excellent,2,yes,g,200,bovisa
1,5000,190,rent | 4+4,available,"5+ (4 bedrooms, 2 others), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in triple glass / wood | double exposure,excellent,3,yes,d,850,turati
1,1650,60,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | half-day concierge | single tv system | furnished | cellar | window frames in double glass / pvc,excellent,3,yes,d,170,porta romana - medaglie d'oro
1,1350,55,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood,excellent,Ground floor,yes,e,200,corso san gottardo
1,1880,64,rent | transitory,available from 01/06/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure,excellent,2,yes,e,300,farini
1,2750,40,rent | transitory,available from 17/05/2024,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,repubblica
1,6200,200,rent | 4+4,available,"5 (3 bedrooms, 2 others), 2 bathrooms, semi-habitable kitchen",fireplace | optic fiber | security door | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,good condition,4,yes,f,550,moscova
1,1395,30,rent | transitory,available from 01/05/2024,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,carrobbio
1,800,30,rent,available,"1 bedroom, 1 bathroom - one or more suitable for disabled people",kitchen | furnished | window frames in triple glass / metal | exposure east,excellent,2,yes,b,200,maggiolina
1,1667,90,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | shared garden | window frames in double glass / pvcdouble exposure,excellent,1,yes,g,330,washington
1,2400,100,rent | 4+4,available,"3 (1 bedroom, 2 others), 2 bathrooms, kitchen diner",security door | closet | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,excellent,2,yes,f,292,repubblica
1,1000,30,rent | 4+4,available from 01/07/2024,"1 room, 1 bathroom, kitchenette",security door | internal exposure | terrace | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / metal,excellent,8,yes,f,50,sempione
1,1200,44,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",optic fiber | video entryphone | internal exposure | closet | centralized tv system | furnished | cellar | window frames in glass / wood,good condition,1,no,g,100,isola
1,1000,50,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | security door | closet | balcony | single tv system | furnished | cellar | window frames in glass / wood | double exposure,good condition,4,yes,g,100,pasteur
1,900,30,rent | 4+4,available,"1 room, 1 bathroom, open kitchen",electric gate | optic fiber | security door | external exposure | centralized tv system | window frames in double glass / pvc,excellent,1,no,f,50,ripamonti
1,1100,80,rent | transitory,available,"2 bedrooms, 1 bathroom, open kitchen",electric gate | fireplace | optic fiber | video entryphone | security door | closet | centralized tv system | partially furnished | private garden | window frames in glass / wood | double exposure,excellent,Ground floor,yes,f,100,quarto cagnino
1,1650,35,rent | transitory,available,"1 room, 1 bathroom, kitchen nook",security door | centralized tv system | furnished | double exposure,excellent,3,no,NA,0,montenero
1,900,35,rent | transitory,available from 01/06/2024,"1 room, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,parco trotter
1,2400,78,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",optic fiber | video entryphone | security door | external exposure | closet | balcony | half-day concierge | centralized tv system | furnished | window frames in double glass / wood,good condition,5,yes,f,200,moscova
1,1200,50,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | internal exposure | closet | terrace | centralized tv system | furnished | window frames in double glass / pvc,excellent,Ground floor,no,a,200,pezzotti - meda
1,3166,100,rent | 4+4,available,"2 (1 bedroom, 1 other), 2 bathrooms, kitchen nook",electric gate | attic | alarm system | security door | external exposure | terrace | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvc,excellent,5,yes,NA,220,cadorna - castello
1,2550,175,rent | 4+4,NA,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",optic fiber | video entryphone | security door | balcony | full day concierge | only kitchen furnished | window frames in triple glass / wood,new,4,yes,d,450,città studi
1,2250,47,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",optic fiber | security door | external exposure | closet | full day concierge | centralized tv system | furnished | window frames in glass / wood,excellent,3,yes,d,250,solari
1,1400,100,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | single tv system | furnished | cellar | shared garden | window frames in double glass / wood | double exposure,excellent,8,yes,e,220,quartiere adriano
1,1200,35,rent,available,"1 room, 1 bathroom",kitchen | furnished | shared garden | window frames in double glass / wood | exposure east,excellent,Ground floor,no,f,100,udine
1,1250,60,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom",video entryphone | security door | internal exposure | closet | half-day concierge | furnished,NA,Mezzanine,no,g,250,sempione
1,1200,50,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | internal exposure | half-day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / wood,good condition,1,no,e,140,garibaldi - corso como
1,1600,65,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom",reception | kitchen | balcony | furnished | shared garden,excellent,6,yes,a,350,cenisio
1,950,40,rent | open,available,"1 bedroom, 1 bathroom, kitchen diner",security door | terrace | full day concierge | furnished | private garden,excellent,5,yes,e,300,bisceglie
1,1800,45,rent | open,available from 01/08/2024,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | security door | external exposure | balcony | terrace | half-day concierge | single tv system | furnished | cellar | window frames in glass / wood,excellent,8,yes,g,200,montenero
1,1100,35,rent | transitory,available from 05/05/2024,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,5,no,c,0,corvetto
1,2416,95,rent | 4+4,available from 09/09/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen nook",optic fiber | alarm system | security door | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure,excellent,3,yes,f,167,morgagni
1,1980,106,rent | 4+4,available,"3 (2 bedrooms, 1 other), 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in triple glass / pvc,excellent,5,yes,a,155,tripoli - soderini
1,3166,105,rent,NA,"2 bedrooms, 2 bathrooms, open kitchen",internal exposure | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood,excellent,5,yes,d,216,cadorna - castello
1,1800,95,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom","reception | kitchen | furnished | exposure north, west",excellent,Ground floor,yes,g,0,porta romana - medaglie d'oro
1,2500,80,rent | transitory,available from 20/02/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,carrobbio
1,1500,45,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in triple glass / metal,excellent,3,yes,a,250,sempione
1,1630,50,rent | 4+4,available from 01/06/2024,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc,good condition,5,yes,g,170,turati
1,1500,45,rent,available,"2 (1 bedroom, 1 other), 1 bathroom","reception | kitchen | balcony | furnished | window frames in double glass / wood | exposure north, south",excellent,1,yes,NA,0,barona
1,1450,80,rent,available,"5+ (2 bedrooms, 4 others), 1 bathroom, kitchen diner",balcony | furnished,good condition,8,yes,e,350,gambara
1,2200,50,rent | transitory,available from 28/02/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,centrale
1,2000,35,rent | transitory,available from 10/09/2023,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,2,no,c,0,pasteur
1,1100,54,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",balcony | furnished | cellar | shared garden | window frames in double glass / wood | exposure east,excellent,2,yes,e,100,dergano
1,3750,120,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",optic fiber | video entryphone | security door | internal exposure | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood,excellent,6,yes,a,825,vincenzo monti
1,950,40,rent | open,NA,"1 bedroom, 1 bathroom, kitchen diner",security door | internal exposure | balcony | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood,excellent,3,yes,d,50,martini - insubria
1,7000,200,rent | open,available,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",hydromassage | electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | tv system with satellite dish | only kitchen furnished | shared garden | window frames in double glass / pvcdouble exposure,excellent,2,yes,e,200,piave - tricolore
1,1600,65,rent | 4+4,available from 01/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,new,3,yes,a,150,porta vittoria
1,1100,60,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | video entryphone | security door | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure,excellent,Mezzanine,yes,f,200,dergano
1,3700,120,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | furnished | window frames in double glass / metal | double exposure,excellent,5,yes,e,500,missori
1,1450,68,rent,available,"2 (1 bedroom, 1 other), 1 bathroom","reception | alarm system | kitchen | balcony | partially furnished | shared garden | window frames in double glass / metal | exposure north, west",excellent,5,yes,c,220,argonne - corsica
1,1800,65,rent | 4+4,available,"2 (1 bedroom, 1 other), 2 bathrooms, open kitchen",video entryphone | security door | internal exposure | terrace | centralized tv system | furnished | window frames in double glass / pvc,excellent,Ground floor,yes,a,100,farini
1,1950,35,rent | transitory,available from 19/05/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,moscova
1,1490,71,rent | 4+4,available,"2 bedrooms, 1 bathroom, kitchen diner",electric gate | fireplace | optic fiber | video entryphone | security door | external exposure | closet | balcony | full day concierge | furnished,excellent,4,yes,f,180,cenisio
1,917,60,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",security door | full day concierge | cellar | window frames in double glass / metal,excellent,2,yes,f,158,martini - insubria
1,2500,100,rent | 4+4,available from 01/04/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",electric gate | optic fiber | video entryphone | alarm system | security door | closet | full day concierge | centralized tv system | partially furnished | window frames in glass / metal | double exposure,excellent,7,yes,g,460,morgagni
1,900,25,rent | 4+4,NA,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | internal exposure | centralized tv system | furnished | shared garden | window frames in double glass / metal,good condition,1,no,g,35,città studi
1,1800,81,rent | 4+4,available from 01/08/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",balcony | full day concierge | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,good condition,3,yes,g,250,plebisciti - susa
1,1950,70,rent | 4+4,available from 05/05/2024,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",optic fiber | security door | external exposure | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood,excellent,5,yes,c,300,morgagni
1,850,28,rent,available,"1 bedroom, 1 bathroom, open kitchen",security door | full day concierge | furnished | window frames in double glass / pvc,excellent,Ground floor,no,f,NA,parco trotter
1,1150,67,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",video entryphone | security door | closet | half-day concierge | centralized tv system | furnished | window frames in glass / wood | double exposure,excellent,Ground floor,yes,f,200,cenisio
1,780,35,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",kitchen | partially furnished | window frames in glass / pvcexposure west,NA,1,yes,f,40,niguarda
1,2083,87,rent | 4+4,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",optic fiber | security door | balcony | full day concierge | tv system with satellite dish | window frames in double glass / wood | double exposure,excellent,3,no,g,136,morgagni
1,1300,81,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,good condition,2,yes,f,100,repubblica
1,1300,75,rent | 4+4,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",optic fiber | security door | balcony | centralized tv system | only kitchen furnished | window frames in double glass / pvcdouble exposure,excellent,1,no,e,290,monte rosa - lotto
1,1847,55,rent,available,"1 bedroom, 1 bathroom",balcony | full day concierge | partially furnished,excellent,4,yes,a,98,solari
1,900,50,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",optic fiber | alarm system | security door | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,excellent,Ground floor,no,g,100,molise - cuoco
1,1800,50,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | internal exposure | closet | balcony | furnished,good condition,4,yes,g,100,arena
1,2166,61,rent,NA,"2 rooms, 1 bathroom",balcony | partially furnished,excellent,3,yes,a,152,solari
1,1800,60,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | terrace | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,5,yes,f,150,missori
1,5000,160,rent,available,"4 (2 bedrooms, 2 others), 3 bathrooms, kitchen diner",optic fiber | video entryphone | alarm system | security door | full day concierge | centralized tv system | window frames in double glass / wood | double exposure,excellent,4,yes,e,200,moscova
1,1050,50,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom","kitchen | furnished | window frames in double glass / metal | exposure east, west",excellent,2,yes,f,50,zara
1,2000,110,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",video entryphone | security door | balcony | half-day concierge | window frames in double glass / pvcdouble exposure,excellent,1,yes,NA,300,plebisciti - susa
